training_step,0,1,2,3,4
3381287,123,229,29,256,80
3386825,123,229,29,256,80
3392610,123,229,29,256,80
3398487,123,229,29,256,80
3404150,123,229,29,256,80
3410110,123,229,29,256,80
3415784,123,229,29,256,80
3421340,123,229,29,256,80
3427174,123,229,29,246,80
3432771,123,229,29,246,80
3438319,123,229,29,246,80
3443924,123,229,29,246,80
3449446,123,229,29,236,80
3454979,123,229,29,236,80
3460862,123,229,29,236,80
3466348,123,229,29,236,80
3471894,123,229,29,226,80
3477712,123,229,29,226,80
3483299,123,229,29,226,80
3488936,123,229,29,226,80
3494739,123,229,29,226,80
3500156,123,229,29,226,80
3505674,123,229,29,226,80
3511084,123,229,29,226,80
3516716,123,229,29,226,80
3522370,123,229,29,226,80
3527927,123,229,29,226,80
3533327,123,229,29,226,80
3538813,123,229,29,226,80
3544177,123,229,29,226,80
3549650,123,229,29,226,80
3555072,123,229,29,226,80
3560844,123,229,29,226,80
3566483,123,229,29,226,80
3572266,123,229,29,226,80
3577545,123,229,29,226,80
3583142,123,229,29,226,80
3589072,123,229,29,226,80
3594830,123,229,29,226,80
3599996,123,229,29,226,80
3605318,123,229,29,226,80
3611010,123,229,29,226,80
3616540,123,229,29,226,80
3622105,123,229,29,226,80
3627786,123,229,29,226,80
3633330,123,229,29,226,80
3638948,123,229,29,226,80
3644184,123,229,29,226,80
3649785,123,229,29,226,80
3655434,123,229,29,226,80
3661117,123,229,29,226,80
3666702,123,229,29,226,80
3671921,123,229,29,226,80
3677390,123,229,29,226,80
3682719,123,229,29,226,80
3688284,123,229,29,226,80
3693648,123,229,29,226,80
3699017,123,229,29,226,80
3704393,123,229,29,226,80
3709689,123,229,29,226,80
3715003,123,229,29,226,80
3720653,123,229,29,226,80
3726037,123,229,29,226,80
3731605,123,229,29,216,80
3737073,123,229,29,216,80
3742552,123,229,29,216,80
3747757,123,229,29,216,80
3753271,123,229,29,216,80
3758763,123,229,29,206,80
3764228,123,229,29,206,80
3769737,123,229,29,206,80
3775494,123,229,29,206,80
3780827,123,229,29,206,80
3786146,123,229,29,206,80
3791658,123,229,29,196,80
3797274,123,229,29,196,80
3802490,123,229,29,196,80
3807998,123,229,19,196,80
3813741,123,229,19,186,80
3819352,123,229,19,186,80
3825039,123,229,19,186,80
3830706,123,229,19,186,80
3836250,123,229,19,176,80
3841797,123,229,19,176,80
3847289,123,229,19,176,80
3852863,123,229,19,176,80
3858397,123,229,19,166,80
3863985,123,229,19,166,80
3869546,123,229,19,166,80
3875153,123,229,19,166,80
3880706,123,229,19,166,80
3886300,123,229,19,166,80
3891759,123,229,19,166,80
3897425,123,229,19,166,80
3902978,123,229,19,166,80
3908565,123,229,19,166,80
3914225,123,229,19,166,80
3919822,123,229,19,166,80
3925279,123,229,19,166,80
3931107,123,229,19,166,80
3936620,123,229,19,166,80
3942251,123,229,19,166,80
3947846,123,229,19,166,80
3953339,123,229,19,166,80
3958849,123,229,19,166,80
3964371,123,229,19,166,80
3970115,123,229,19,166,80
3975722,123,229,19,166,80
3981398,123,229,19,166,80
3987146,123,229,19,166,80
3992745,123,229,19,166,80
3998626,123,229,19,166,80
4004090,123,229,19,166,80
4009653,123,229,19,166,80
4015238,123,229,19,166,80
4020883,123,229,19,166,80
